0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0004;1-70-HWSM-001-03;1-30;236.0;CPECC-CC-49484 BD;CPECC-CC-53525 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0005;1-70-HWSM-001-04;1-30;284.0;CPECC-CC-50489 BD;CPECC-CC-53524 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0006;1-70-HWSM-001-05;1-30;266.0;CPECC-CC-50488 BD;CPECC-CC-53523 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0007;1-70-HWSM-001-06;1-30;90.0;CPECC-CC-44966 BD;CPECC-CC-45817 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0008;1-70-HWSM-002-01/1-70-HWSM-002-02;1-30;498.0;CPECC-CC-43918 BD;CPECC-CC-45818 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0009;1-70-HWSM-002-03;1-30;241.0;CPECC-CC-43475 BD;CPECC-CC-44053 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0010;1-70-HWSM-002-04;1-30;183.0;CPECC-CC-44320 BD;CPECC-CC-45328/1 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0011;1-70-HWSM-002-05;1-30;216.0;CPECC-CC-44469 BD;CPECC-CC-45157 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0012;1-70-HWSM-002-06;1-30;198.0;CPECC-CC-44539 BD;CPECC-CC-45330/1 BD;
0055-CPC-GGC-4.1.3.30.136-TM5-ID-A-0013;1-70-HWSM-002-07;1-30;240.0;CPECC-CC-46366 BD;CPECC-CC-46578 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0023;1-30-STSM-001-01;1-30;33.0;CPECC-CC-52592 BD;CPECC-CC-60789 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0014;1-30-STSM-003-03;1-30;15.0;CPECC-CC-53175 BD;CPECC-CC-54322 BD;
0055-CPC-GGC-4.1.3.30.122-TM4-ID-A-0024;1-30-STSM-001-01;1-30;2.0;CPECC-CC-52592 BD;CPECC-CC-60789 BD;
